2014 4 2 8 21 19 -20.08 -70.47 28 4 -0.269618
2014 4 2 11 7 32 -19.99 -71.05 32 5.3 -0.450387
2014 4 2 16 13 41 -19.95 -70.4 33 4 -0.582386
2014 4 2 17 12 33 -19.8 -70.29 42 4.3 -0.469484
2014 4 2 17 40 20 -19.89 -70.08 53 4.4 -0.285388
2014 4 2 19 29 36 -20.16 -70.4 36 4.4 -0.511364
2014 4 2 19 43 20 -19.85 -70.27 41 4 -0.284616
2014 4 2 19 50 23 -20.06 -70.52 28 4.6 -0.326149
2014 4 3 1 58 31 -20.29 -70.61 26 6.3 -0.439031
2014 4 3 2 43 15 -20.52 -70.44 28 7.6 -0.212947
2014 4 3 2 56 8 -20.74 -70.54 13 5.3 -0.113411
2014 4 3 2 59 54 -20.57 -70.43 28 4.5 -0.766719
2014 4 3 3 11 19 -20.61 -70.56 36 5.1 -0.269274
2014 4 3 3 45 55 -19.96 -70.91 20 5 -0.775631
2014 4 3 4 4 47 -20.35 -70.54 26 4.5 -0.666289
2014 4 3 4 17 59 -20.59 -70.67 12 5 -0.834866
2014 4 3 5 26 14 -20.8 -70.65 38 6.3 -0.19816
2014 4 3 5 26 15 -20.8 -70.67 30 6.3 -0.212254
2014 4 3 5 34 33 -20.47 -70.57 20 4.6 -0.467621
2014 4 3 5 51 44 -20.76 -70.42 36 5.5 -0.624822
2014 4 3 5 51 45 -20.77 -70.44 31 5.5 -0.638842
2014 4 3 6 54 32 -20.62 -70.64 30 4.7 -0.453001
2014 4 3 6 56 51 -20.36 -70.03 43 4.4 -0.728259
2014 4 3 9 8 57 -20.28 -70.47 37 4.8 -0.808855
2014 4 3 9 23 23 -20.59 -70.77 16 5.2 -0.324996
2014 4 3 11 45 37 -20.34 -69.92 48 4 -0.529176
2014 4 3 11 50 48 -20.66 -70.34 32 4.7 -0.6824
2014 4 3 13 49 23 -20.48 -70.49 28 4.5 -0.326287
2014 4 3 14 34 5 -20.6 -70.93 36 4.8 -0.070492
2014 4 3 20 28 40 -20.07 -70.55 34 4.2 -0.566974
2014 4 3 23 1 45 -20.31 -70.51 21 4.1 -0.638207
2014 4 3 23 13 21 -20.17 -70.37 35 4.3 -0.298423
2014 4 3 23 37 51 -20.18 -70.63 41 5.1 -0.722073
2014 4 4 1 37 51 -20.62 -70.57 40 6.1 -0.722687
2014 4 4 1 37 52 -20.62 -70.61 33 6.1 -0.73644
2014 4 4 4 34 28 -22.16 -70.26 70 5.2 -0.39852
2014 4 4 9 52 7 -31.48 -70.64 106 5.4 -0.099094
2014 4 4 9 53 25 -20.62 -70.7 20 4.6 -0.353607
2014 4 4 14 20 25 -20.37 -69.86 50 4 -0.357859
2014 4 5 0 11 50 -20.35 -69.95 44 4 -0.714796
2014 4 5 0 33 58 -20.17 -70.52 37 4.8 -0.822462
2014 4 5 2 22 39 -32.67 -71.3 42 5.7 -0.546985
2014 4 5 4 5 3 -20.71 -70.69 30 4.7 -0.0424388
2014 4 5 5 28 58 -20.6 -70.67 21 4.6 -0.820716
2014 4 5 5 44 56 -20.16 -70.54 43 5.4 -0.793876
2014 4 5 7 1 27 -20.27 -70.22 40 4.1 -0.384506
2014 4 5 8 16 31 -20.28 -70.03 52 4.3 -0.442667
2014 4 5 20 20 28 -19.87 -70.22 45 4.5 -0.398747
2014 4 6 14 6 9 -20.41 -70.98 45 5 -0.126796
2014 4 6 16 54 34 -20.17 -70.37 38 4 -0.48316
2014 4 6 20 55 56 -19.77 -70.5 41 4.5 -0.794326
2014 4 7 3 25 7 -20.04 -69.29 102 4.3 -0.101025
2014 4 7 6 24 24 -20.64 -70.87 36 4.7 -0.338648
2014 4 7 13 43 20 -20.13 -70.91 36 6.1 -0.282048
2014 4 7 13 47 34 -20.14 -70.92 20 5 -0.479413
2014 4 7 14 3 44 -20.14 -70.9 39 5 -0.620592
2014 4 7 17 46 33 -20.14 -70.37 29 4.7 -0.46895
2014 4 8 1 3 2 -19.77 -70.48 39 5 -0.0283768
2014 4 8 1 53 8 -20.36 -69.89 52 4 -0.114466
